dwell_time_total,context,country,country_name,weight,age,age_group,gender,q06_vote,q01_currently_distributed,q03_household_income,q02_should_distributed,q04_household_size,q05_income,q05_income_group,q08_gap,q13_responsibility_govt,q14_live,q15_education
327,3,ES,Spain,0.7212800061246206,18_34,2,2,15,2,4,4,2,327,1,2,2,4,15
194,3,ES,Spain,0.7212800061246206,18_34,2,2,20,2,3,5,2,326,1,2,6,1,14
275,2,ES,Spain,0.7212800061246206,18_34,2,2,15,2,4,6,2,326,1,1,NA,NA,NA
35,2,ES,Spain,0.7212800061246206,18_34,2,2,20,5,4,NA,NA,NA,NA,NA,NA,NA,NA
47,3,ES,Spain,0.45630889606036246,18_34,2,1,20,4,3,4,3,NA,NA,NA,NA,NA,NA
178,3,ES,Spain,0.8618055566446141,35_54,3,1,16,3,3,5,3,331,1,2,2,4,13
54,3,ES,Spain,0.45630889606036246,18_34,2,1,16,5,5,NA,NA,NA,NA,NA,NA,NA,NA
34,2,ES,Spain,1.38016368045989,55_and_over,4,1,19,3,3,NA,NA,NA,NA,NA,NA,NA,NA
269,3,ES,Spain,0.45630889606036246,18_34,2,1,20,4,5,6,8,360,1,5,5,3,16
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,17,6,4,6,1,321,1,5,5,1,13
32,2,ES,Spain,0.45630889606036246,18_34,2,1,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,ES,Spain,0.45630889606036246,18_34,2,1,19,3,4,NA,NA,NA,NA,NA,NA,NA,NA
57,3,ES,Spain,0.45630889606036246,18_34,2,1,20,2,4,NA,NA,NA,NA,NA,NA,NA,NA
243,2,ES,Spain,0.45630889606036246,18_34,2,1,20,2,3,5,4,336,1,1,3,NA,NA
NA,3,ES,Spain,0.45630889606036246,18_34,2,1,15,5,4,5,8,360,1,4,6,2,15
NA,3,ES,Spain,0.45630889606036246,18_34,2,1,16,3,3,6,5,341,1,2,3,1,15
108,2,ES,Spain,0.45630889606036246,18_34,2,1,13,3,3,4,1,NA,NA,NA,NA,NA,NA
310,2,ES,Spain,1.38016368045989,55_and_over,4,1,20,3,4,5,7,351,1,4,6,4,16
75,3,ES,Spain,1.3622419429943156,35_54,3,2,20,2,4,6,2,NA,NA,NA,NA,NA,NA
24,3,ES,Spain,0.7212800061246206,18_34,2,2,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,ES,Spain,0.45630889606036246,18_34,2,1,20,6,5,6,8,356,1,NA,NA,NA,NA
176,3,ES,Spain,0.8618055566446141,35_54,3,1,15,3,4,3,5,341,1,1,1,4,13
56,2,ES,Spain,0.45630889606036246,18_34,2,1,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3,ES,Spain,1.38016368045989,55_and_over,4,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,3,ES,Spain,1.38016368045989,55_and_over,4,1,19,3,3,4,2,329,1,2,2,2,16
449,3,ES,Spain,1.3622419429943156,35_54,3,2,20,1,3,6,2,327,1,2,2,4,15
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,3,ES,Spain,0.45630889606036246,18_34,2,1,18,3,5,6,2,326,1,2,6,4,12
322,3,ES,Spain,0.7212800061246206,18_34,2,2,15,3,3,6,4,336,1,2,1,4,15
42,3,ES,Spain,0.7212800061246206,18_34,2,2,20,3,3,5,NA,NA,NA,NA,NA,NA,NA
NA,3,ES,Spain,0.7212800061246206,18_34,2,2,20,6,3,NA,NA,NA,NA,NA,NA,NA,NA
55,3,ES,Spain,0.45630889606036246,18_34,2,1,15,6,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,ES,Spain,1.38016368045989,55_and_over,4,1,14,4,3,4,1,325,1,3,6,1,16
76,3,ES,Spain,0.8618055566446141,35_54,3,1,16,3,3,3,1,325,1,3,NA,NA,NA
325,3,ES,Spain,1.3622419429943156,35_54,3,2,19,5,3,3,4,336,1,3,6,1,13
147,2,ES,Spain,0.45630889606036246,18_34,2,1,20,5,4,6,4,336,1,4,6,2,16
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,13,4,3,NA,NA,NA,NA,NA,NA,NA,NA
544,3,ES,Spain,1.3622419429943156,35_54,3,2,15,1,3,6,3,332,1,1,2,2,16
73,3,ES,Spain,1.3622419429943156,35_54,3,2,20,1,3,4,4,340,1,4,4,2,16
71,3,ES,Spain,0.7212800061246206,18_34,2,2,20,6,5,6,8,356,1,2,6,2,15
NA,2,ES,Spain,2.18160214821541,55_and_over,4,2,14,4,3,6,7,355,1,5,6,1,14
255,3,ES,Spain,0.45630889606036246,18_34,2,1,15,1,3,5,4,338,1,1,1,1,15
119,2,ES,Spain,0.45630889606036246,18_34,2,1,20,3,3,5,1,NA,NA,NA,NA,NA,NA
112,3,ES,Spain,0.45630889606036246,18_34,2,1,19,2,4,5,5,341,1,5,NA,NA,NA
18,2,ES,Spain,0.8618055566446141,35_54,3,1,19,6,3,2,8,357,1,NA,NA,NA,NA
NA,2,ES,Spain,0.45630889606036246,18_34,2,1,13,1,1,6,8,360,1,1,NA,NA,NA
477,3,ES,Spain,2.18160214821541,55_and_over,4,2,13,3,3,4,3,332,1,2,1,1,15
60,2,ES,Spain,0.7212800061246206,18_34,2,2,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,2,ES,Spain,0.7212800061246206,18_34,2,2,17,2,4,5,2,326,1,3,2,4,13
210,3,ES,Spain,1.38016368045989,55_and_over,4,1,16,5,4,5,4,339,1,4,2,1,13
NA,3,ES,Spain,1.3622419429943156,35_54,3,2,16,1,3,5,4,336,1,2,1,2,14
105,3,ES,Spain,0.7212800061246206,18_34,2,2,14,6,5,3,4,336,1,1,1,2,15
96,2,ES,Spain,0.7212800061246206,18_34,2,2,20,2,2,3,4,336,1,3,3,2,15
88,2,ES,Spain,0.7212800061246206,18_34,2,2,20,3,3,NA,NA,NA,NA,NA,NA,NA,NA
116,3,ES,Spain,0.45630889606036246,18_34,2,1,16,2,1,1,7,351,1,1,1,1,12
369,2,ES,Spain,2.18160214821541,55_and_over,4,2,20,3,2,1,8,NA,NA,NA,NA,NA,NA
256,3,ES,Spain,1.38016368045989,55_and_over,4,1,13,3,4,3,NA,NA,NA,NA,NA,NA,NA
186,2,ES,Spain,2.18160214821541,55_and_over,4,2,20,2,4,2,NA,NA,NA,NA,NA,NA,NA
144,2,ES,Spain,0.8618055566446141,35_54,3,1,14,3,3,5,4,338,1,2,2,1,15
43,3,ES,Spain,0.7212800061246206,18_34,2,2,15,5,4,NA,NA,NA,NA,NA,NA,NA,NA
206,2,ES,Spain,1.38016368045989,55_and_over,4,1,20,2,3,5,4,336,1,1,NA,NA,NA
30,3,ES,Spain,0.45630889606036246,18_34,2,1,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2,ES,Spain,0.8618055566446141,35_54,3,1,19,2,3,6,3,331,1,NA,NA,NA,NA
64,3,ES,Spain,0.8618055566446141,35_54,3,1,20,1,5,NA,NA,NA,NA,NA,NA,NA,NA
33,3,ES,Spain,0.45630889606036246,18_34,2,1,16,2,2,3,3,331,1,NA,NA,NA,NA
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,19,1,3,6,5,341,1,1,1,4,14
69,2,ES,Spain,2.18160214821541,55_and_over,4,2,20,4,3,3,4,336,1,2,4,3,12
